,FLA1 amount,RAM1 amount,LAN speed,802dot11,Release
Gateworks Ventana GW5300,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,1024 MiB1073741824 B8388608 Kib1048576 KiB8192 Mib1 GiB,10/100/1000,none specified,2015
TP-LINK TGR1900 (Google OnHub),8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,1024 MiB1073741824 B8388608 Kib1048576 KiB8192 Mib1 GiB,10/100/1000,abgn+ac,2015
Technicolor TC8717C,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,1024 MiB1073741824 B8388608 Kib1048576 KiB8192 Mib1 GiB,10/100/1000,abgn+ac,2014
ASUS SRT-AC1900 (ASUS OnHub),4096 MiB4294967296 B33554432 Kib4194304 KiB32768 Mib4 GiB,1024 MiB1073741824 B8388608 Kib1048576 KiB8192 Mib1 GiB,10/100/1000,abgn+ac,2015
Gateworks Ventana GW5310,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,1024 MiB1073741824 B8388608 Kib1048576 KiB8192 Mib1 GiB,10/100/1000,none specified,2014
Banana Pi BPI-R1,0 MiB0 B0 Kib0 KiB0 Mib0 GiB,1024 MiB1073741824 B8388608 Kib1048576 KiB8192 Mib1 GiB,10/100/1000,bgn,2014
Gateworks Ventana GW5410,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,1024 MiB1073741824 B8388608 Kib1048576 KiB8192 Mib1 GiB,10/100/1000,none specified,2014
Gateworks Ventana GW3056,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,1024 MiB1073741824 B8388608 Kib1048576 KiB8192 Mib1 GiB,10/100/1000,abgn+ac,2014
MQmaker WiTi Board,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Linksys WRT1900AC v2,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Linksys E8350,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2014
Xirrus XR-1000H Series XR-1230H,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn,2013
ASUS RT-AC88U,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Linksys EA8500,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Gateworks Ventana GW5100,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,none specified,
TP-LINK AD7200 (Talon),128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac+ad,
ASUS RT-AC3100,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Buffalo WXR-1900DHP,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2014
Buffalo WZR-1166DHP,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2013
Cisco AIR-CAP3702E-A-K9,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2013
Linksys WRT1900ACS,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Gateworks Ventana GW5200,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,none specified,
TP-LINK Archer C2600 v1.x,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
ZBT WG2626,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn+ac,2015
Aerohive HiveAP 330,64 MiB67108864 B524288 Kib65536 KiB512 Mib0.0625 GiB,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,10/100/1000,abgn,2011
